Entity,Code,Day,testing_policy,vaccination_policy,facial_coverings,restriction_gatherings,stay_home_requirements
Albania,ALB,24/5/21,2,2,4,4,2
Albania,ALB,25/5/21,2,2,4,4,2
Albania,ALB,26/5/21,2,2,4,4,2
Albania,ALB,27/5/21,2,2,4,4,2
Albania,ALB,28/5/21,3,2,4,4,2
Albania,ALB,29/5/21,3,2,4,4,2
Albania,ALB,30/5/21,3,2,4,4,2
Albania,ALB,31/5/21,3,2,4,4,2
Albania,ALB,1/6/21,3,2,2,4,2
Albania,ALB,2/6/21,3,2,2,4,2
Albania,ALB,3/6/21,3,2,2,4,2
Albania,ALB,4/6/21,3,2,2,4,2
Albania,ALB,5/6/21,3,2,2,4,2
Albania,ALB,6/6/21,3,2,2,4,2
Albania,ALB,7/6/21,3,2,2,3,2
Albania,ALB,8/6/21,3,2,2,3,2
Albania,ALB,9/6/21,3,2,2,3,2
Albania,ALB,10/6/21,3,2,2,3,2
Albania,ALB,11/6/21,3,2,2,3,2
Albania,ALB,12/6/21,3,2,2,3,2
Albania,ALB,13/6/21,3,2,2,3,2
Albania,ALB,14/6/21,3,2,2,3,2
Albania,ALB,15/6/21,3,2,2,3,2
Albania,ALB,16/6/21,3,2,2,3,2
Albania,ALB,17/6/21,3,2,2,3,2
Albania,ALB,18/6/21,3,2,2,3,2
Albania,ALB,19/6/21,3,2,2,3,2
Albania,ALB,20/6/21,3,2,2,3,2
Albania,ALB,21/6/21,3,2,2,3,2
Albania,ALB,22/6/21,3,2,2,3,2
Albania,ALB,23/6/21,3,2,2,3,2
Albania,ALB,24/6/21,3,2,2,3,2
Albania,ALB,25/6/21,3,2,2,3,2
Albania,ALB,26/6/21,3,2,2,3,2
Albania,ALB,27/6/21,3,2,2,3,2
Albania,ALB,28/6/21,3,2,2,3,2
Albania,ALB,29/6/21,3,2,2,3,2
Albania,ALB,30/6/21,3,2,2,3,2
Albania,ALB,1/7/21,3,2,2,3,2
Albania,ALB,2/7/21,3,2,2,3,2
Albania,ALB,3/7/21,3,2,2,3,2
Albania,ALB,4/7/21,3,2,2,3,2
Albania,ALB,5/7/21,3,2,2,3,2
Albania,ALB,6/7/21,3,2,2,3,2
Albania,ALB,7/7/21,3,2,2,3,2
Albania,ALB,8/7/21,3,2,2,3,2
Albania,ALB,9/7/21,3,2,2,3,2
Albania,ALB,10/7/21,3,2,2,3,2
Albania,ALB,11/7/21,3,2,2,3,2
Albania,ALB,12/7/21,3,2,2,3,2
Albania,ALB,13/7/21,3,2,2,3,2
Albania,ALB,14/7/21,3,2,2,3,2
Albania,ALB,15/7/21,3,2,2,3,2
Albania,ALB,16/7/21,3,3,2,3,2
